State,Year,Median_Income_All,Median_Income_White,Median_Income_Black,Median_Income_AIAN,Median_Income_Asian,Median_Income_NHPI,Median_Income_Other,Median_Income_Two_Races,Median_Income_White_Non_Hispanic,Median_Income_Hispanic,Gini_Index,Median_Family_Income,Median_Earnings_All,Median_Earnings_Male,Median_Earnings_Female,Total_Population_Education,High_School_Graduate,Some_College_No_Degree,Associates_Degree,Bachelors_Degree,Graduate_Degree
Texas,2021,66963,77631,49767,61896,100417,63582,51283,57583,81384,54857,0.4784,80304,38059,44165,31690,19224688,3893052,830424,1258124,4077821,265486
Utah,2021,79449,82306,55182,53268,83084,61250,64996,72184,82932,67777,0.4449,92192,37325,47089,28337,2010727,383119,61891,163888,484882,28971
Vermont,2021,72431,72634,,39361,69400,-666666666,47336,77187,72803,83641,0.4527,90556,40249,41857,37326,462705,109790,11369,23882,120373,10500
Virginia,2021,80963,86719,55345,73529,120536,78922,71570,83150,86830,79845,0.4724,100763,43963,51234,36901,5942672,1193258,227341,356524,1394875,117241
Washington,2021,84247,85698,62356,64044,123382,84490,61959,76525,86105,65248,0.4704,102178,46951,55930,38443,5401149,955764,212912,392168,1287465,96684
West Virginia,2021,51248,52028,40155,,57206,-666666666,45010,41804,52032,44917,0.4858,66669,33739,40796,27551,1265439,417980,77331,76049,179376,13423
Wisconsin,2021,67125,70320,36379,58112,81378,,51969,57571,70353,53186,0.4464,85810,40678,47217,33657,4076339,1077222,145134,273525,876467,55759
Wyoming,2021,65204,67124,45376,65876,,-666666666,62333,56732,68091,47780,0.4638,83789,35613,45383,27683,395348,86940,20874,35005,73255,4719
Alaska,2021,77845,82051,61411,50892,80106,66513,64187,87839,83864,61216,0.4392,95344,41962,49278,37206,485779,109305,26168,34890,101422,6304
National,2021,69717,74932,46774,53149,100572,69973,57671,63854,75412,60566,0.4848,85806,40260,46194,33782,228193464,50927724,9068620,14548916,48482060,3704658
Alabama,2022,59674,68168,40774,62000,83281,107739,49889,62694,68212,54891,0.4851,77668,36953,44443,30824,3474924,874286,182869,228841,609316,42908
Alaska,2022,88121,96000,73018,53969,93212,61423,83917,84416,96116,86081,0.4278,105329,47357,53127,41567,489218,116008,26447,33863,94168,6548
Arizona,2022,74568,79606,58894,48896,96288,78411,66037,66284,80637,65893,0.4665,88679,42346,47810,37718,5053656,996330,206616,375978,1032052,73242
Arkansas,2022,55432,60595,35703,62518,83200,37736,53528,55609,60593,54314,0.4799,70708,36761,42081,31520,2057624,583402,122268,146309,323961,23987
California,2022,91551,100917,63268,76752,119861,95670,71383,83153,103065,75698,0.4953,104823,45575,51521,39836,26866773,4846859,659996,1610206,6056169,517699
Colorado,2022,89302,93728,60810,64555,105863,100260,69579,79392,95026,72989,0.4566,109592,49195,56047,41135,4084004,670780,152329,244723,1177891,83022
Connecticut,2022,88429,96890,61803,41848,110568,,59588,77277,98533,60275,0.5008,115183,50183,56751,41904,2545188,568906,91141,143069,584999,49857
Delaware,2022,82174,89351,61228,70375,106917,-666666666,76255,62559,89282,71733,0.4407,100128,43181,50536,40305,724041,180292,24093,48071,151894,14956
District of Columbia,2022,101027,149358,60891,39075,119607,,73921,125240,151084,117945,0.5111,146477,74436,80852,70426,479231,53376,11167,15868,126678,24411
Florida,2022,69303,74559,52796,70243,89645,62931,61316,66563,75199,64482,0.4902,83410,39920,44641,34181,16104410,3716877,646732,1065936,3445343,232162
Georgia,2022,72837,82397,57293,56084,102973,72597,61497,72520,82642,67547,0.4736,86642,41046,46944,35671,7332980,1620608,359235,448261,1519625,118108
Hawaii,2022,92458,93098,76108,58556,97742,68338,80482,95885,93988,78846,0.4574,108285,45043,51447,39087,1023843,244287,29623,64597,226124,16917
Idaho,2022,72785,74133,55313,52777,86111,,57915,66900,74179,61854,0.4434,85193,37395,44693,29788,1280178,275314,57791,102880,274409,16713
Illinois,2022,76708,83346,45019,66282,104287,63724,71711,71185,83745,72139,0.4837,96948,44765,52013,38404,8692839,1860087,327023,572448,1952990,140791
Indiana,2022,66785,70619,43638,55059,83010,53607,56644,59942,70748,59737,0.4561,84508,40900,48618,33627,4584460,1230358,242532,331007,869217,57273
Iowa,2022,69588,71725,38071,38997,84547,49950,63939,61568,71772,64447,0.4514,90851,41625,48975,35022,2159511,552775,85069,154829,463740,27957
Kansas,2022,68925,70867,47907,69211,89857,78577,57858,63534,71493,59276,0.4632,89712,40394,47126,33272,1944891,409444,82484,158286,426910,30398
Kentucky,2022,59341,60987,43977,43531,84447,68110,54740,56359,61005,57971,0.4845,76119,37851,43482,32167,3091499,806014,196657,226878,508620,37210
Louisiana,2022,55416,67422,36166,49691,66807,,50095,61563,67499,57039,0.4915,72866,37554,46317,30686,3096121,840937,165247,199127,525044,35332
Maine,2022,69543,70228,54996,61365,81581,103629,64833,59540,70260,58750,0.4601,88063,41192,46286,36498,1030141,261555,49223,58519,229764,17210
Maryland,2022,94991,107160,77368,71440,117771,,72980,99027,107314,82138,0.4589,117294,52436,59729,46337,4286216,882566,127022,261327,996167,129354
Massachusetts,2022,94488,101391,63189,87730,117855,,61039,71552,102027,61523,0.4976,120263,52528,61410,44843,4947384,1000319,136031,257805,1252187,167856
Michigan,2022,66986,71609,42056,54651,101652,68518,61183,63251,71829,62497,0.4685,85865,40610,48049,32767,6978952,1681221,281124,539210,1361139,94849
Minnesota,2022,82338,85697,51320,45227,93773,54396,65473,74586,85844,63399,0.4560,105324,47393,54101,40545,3918565,797540,119592,266686,995083,65650
Mississippi,2022,52719,64236,36215,49994,55873,,49635,48513,64313,52648,0.4806,66973,35467,41310,30531,1963322,481433,122730,128315,297480,24020
Missouri,2022,64811,68771,44631,65788,82869,46136,58488,58716,68931,56460,0.4687,83420,40267,46270,34222,4236010,1084843,191135,319714,835865,60726
Montana,2022,67631,69744,,40063,56041,78053,56890,61907,69772,60797,0.4652,83580,37573,43975,32050,785438,179439,38153,57267,179708,12004
Nebraska,2022,69597,72200,46607,49784,83473,94094,57854,63362,72577,60800,0.4610,92676,41403,48642,34864,1300094,279300,46731,99577,293346,19384
Nevada,2022,72333,78201,49549,64492,78161,58146,62021,74091,78344,68581,0.4685,85593,40360,43913,35841,2223852,534187,85974,176422,390872,23178
New Hampshire,2022,89992,90839,70067,71170,126236,-666666666,80088,81037,90938,73813,0.4466,112950,49617,57863,41552,1024780,234569,43233,61313,252073,20137
New Jersey,2022,96346,105428,65850,74433,144878,127577,67237,84272,106209,72170,0.4815,117988,51884,60351,43165,6482223,1458634,176444,357416,1679895,119490
New Mexico,2022,59726,66903,55583,43317,77107,80450,46171,56942,71634,52568,0.4796,74341,36381,40673,32347,1453129,306601,67506,95454,246178,30240
